"Region","Coefficient","Group"
"R83",-0.337125275998019,"Low"
"R41",-0.271715039845127,"Low"
"R73",-0.167911204851255,"Low"
"R43",-0.150207398757675,"Low"
"R31",-0.148027795322021,"Low"
"R11",-0.147296142084356,"Low"
"R72",-0.129258065109492,"MedLow"
"R42",-0.128226917476404,"MedLow"
"R23",-0.127507733271706,"MedLow"
"R54",-0.120425695144866,"MedLow"
"R91",-0.113594141519672,"MedLow"
"R26",-0.0972046274895173,"MedHigh"
"R52",-0.0867484545869557,"MedHigh"
"R93",-0.0765655677345315,"MedHigh"
"R25",-0.0340845997541711,"MedHigh"
"R24",0,"MedHigh"
"R82",0.00464782752201829,"High"
"R22",0.0103954531752524,"High"
"R53",0.0234025061919281,"High"
"R21",0.0385906921788943,"High"
"R94",0.0568373015589832,"High"
"R74",0.0984664693115539,"High"
